DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
CAT, 2020-08-28 19:20:00 EST, 2020-08-29 05:40:00 EST, EXO_Cond*, c(24:26), 2, c(60:62), high conductivity event not represenative of whole reservoir
CAT, 2020-09-02 08:51:00 EST, 2020-09-02 08:52:00 EST, All_Cat, c(24:26), 5, c(60:62), conductivity check 34.8 microsiemens 
CAT, 2020-09-02 10:55:00 EST, 2020-09-02 12:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-09-05 06:00:00 EST, 2020-09-09 17:50:00 EST, doobs_9, 18, 6, 56, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-09-05 06:00:00 EST, 2020-09-09 17:50:00 EST, doobs_9, 19, 6, 57, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-09-11 09:42:00 EST, 2020-09-11 10:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning 
CAT, 2020-09-15 09:46:00 EST, 2020-09-15 10:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and EXO DO calibrated
CAT, 2020-09-15 10:30:00 EST, 2020-09-15 13:20:00 EST, All_Cat, c(1:42), 1, c(43:78), RDO calibrated
CAT, 2020-09-19 12:51:00 EST, 2020-09-19 13:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning 
CAT, 2020-09-30 09:57:00 EST, 2020-09-30 10:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-10-05 13:41:00 EST, 2020-10-05 13:44:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-10-09 09:47:00 EST, 2020-10-09 10:00:00 EST, All_Cat, c(1:42), 1, c(43:78), out of the water to measure placement of co2 sensors
CAT, 2020-10-09 09:47:00 EST, 2020-10-11 09:50:00 EST, wtr_5:9, c(10:14), 1, c(48:52), string was out of poistion and all data that was effected was changed to NAs
CAT, 2020-10-09 09:47:00 EST, 2020-10-11 09:50:00 EST, do_9*, c(18:20), 1, c(56:58), string was out of poistion and all data that was effected was changed to NAs
CAT, 2020-10-09 09:47:00 EST, 2020-10-11 09:50:00 EST, Lvl*, c(41:42), 1, c(77:78), string was out of poistion and all data that was effected was changed to NAs
CAT, 2020-10-11 09:09:00 EST, 2020-10-11 09:50:00 EST, All_Cat, c(1:42), 1, c(43:78), string out of the water and repositioned because it was caught 
CAT, 2020-10-14 11:50:00 EST, 2020-10-14 12:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
